Recall @ IoU=0.5, Cat=81, Area=[1024, 9216] => Recall: 0.7959183673469388
Recall @ IoU=0.5, Cat=81, Area=[9216, 10000000000.0] => Recall: 0.8095238095238095
Recall @ IoU=0.5, Cat=82, Area=[0, 10000000000.0] => Recall: 0.8174603174603174
Recall @ IoU=0.5, Cat=82, Area=[0, 1024] => Recall: 1.0
Recall @ IoU=0.5, Cat=82, Area=[1024, 9216] => Recall: 0.6071428571428571
Recall @ IoU=0.5, Cat=82, Area=[9216, 10000000000.0] => Recall: 0.8762886597938144
Recall @ IoU=0.5, Cat=84, Area=[0, 10000000000.0] => Recall: 0.6005314437555359
Recall @ IoU=0.5, Cat=84, Area=[0, 1024] => Recall: 0.5762304921968787
Recall @ IoU=0.5, Cat=84, Area=[1024, 9216] => Recall: 0.6485355648535565
Recall @ IoU=0.5, Cat=84, Area=[9216, 10000000000.0] => Recall: 0.7894736842105263
Recall @ IoU=0.5, Cat=85, Area=[0, 10000000000.0] => Recall: 0.7116104868913857
Recall @ IoU=0.5, Cat=85, Area=[0, 1024] => Recall: 0.5619834710743802
Recall @ IoU=0.5, Cat=85, Area=[1024, 9216] => Recall: 0.8585858585858586
Recall @ IoU=0.5, Cat=85, Area=[9216, 10000000000.0] => Recall: 0.7872340425531915
Recall @ IoU=0.5, Cat=86, Area=[0, 10000000000.0] => Recall: 0.7116788321167883
Recall @ IoU=0.5, Cat=86, Area=[0, 1024] => Recall: 0.592
Recall @ IoU=0.5, Cat=86, Area=[1024, 9216] => Recall: 0.7653061224489796
Recall @ IoU=0.5, Cat=86, Area=[9216, 10000000000.0] => Recall: 0.9019607843137255
Recall @ IoU=0.5, Cat=87, Area=[0, 10000000000.0] => Recall: 0.3888888888888889
